,state,act_participation,act_english,act_math,act_reading,act_science,act_composite,sat_participation,sat_evidence_based_reading_writing,sat_math,sat_total,year
0,Alabama,100,18.9,18.4,19.7,19.4,19.2,5,593,572,1165,2017
1,Alaska,65,18.7,19.8,20.4,19.9,19.8,38,547,533,1080,2017
2,Arizona,62,18.6,19.8,20.1,19.8,19.7,30,563,553,1116,2017
3,Arkansas,100,18.9,19.0,19.7,19.5,19.4,3,614,594,1208,2017
4,California,31,22.5,22.7,23.1,22.2,22.8,53,531,524,1055,2017
5,Colorado,100,20.1,20.3,21.2,20.9,20.8,11,606,595,1201,2017
6,Connecticut,31,25.5,24.6,25.6,24.6,25.2,100,530,512,1041,2017
7,Delaware,18,24.1,23.4,24.8,23.6,24.1,100,503,492,996,2017
8,District of Columbia,32,24.4,23.5,24.9,23.5,24.2,100,482,468,950,2017
9,Florida,73,19.0,19.4,21.0,19.4,19.8,83,520,497,1017,2017
10,Georgia,55,21.0,20.9,22.0,21.3,21.4,61,535,515,1050,2017
11,Hawaii,90,17.8,19.2,19.2,19.3,19.0,55,544,541,1085,2017
12,Idaho,38,21.9,21.8,23.0,22.1,22.3,93,513,493,1005,2017
13,Illinois,93,21.0,21.2,21.6,21.3,21.4,9,559,556,1115,2017
14,Indiana,35,22.0,22.4,23.2,22.3,22.6,63,542,532,1074,2017
15,Iowa,67,21.2,21.3,22.6,22.1,21.9,2,641,635,1275,2017
16,Kansas,73,21.1,21.3,22.3,21.7,21.7,4,632,628,1260,2017
17,Kentucky,100,19.6,19.4,20.5,20.1,20.0,4,631,616,1247,2017
18,Louisiana,100,19.4,18.8,19.8,19.6,19.5,4,611,586,1198,2017
19,Maine,8,24.2,24.0,24.8,23.7,24.3,95,513,499,1012,2017
20,Maryland,28,23.3,23.1,24.2,23.2,23.6,69,536,524,1060,2017
21,Massachusetts,29,25.4,25.3,25.9,24.7,25.4,76,555,551,1107,2017
22,Michigan,29,24.1,23.7,24.5,23.8,24.1,100,509,495,1005,2017
23,Minnesota,100,20.4,21.5,21.8,21.6,21.5,3,644,651,1295,2017
24,Mississippi,100,18.2,18.1,18.8,18.8,18.6,2,634,607,1242,2017
25,Missouri,100,19.8,19.9,20.8,20.5,20.4,3,640,631,1271,2017
26,Montana,100,19.0,20.2,21.0,20.5,20.3,10,605,591,1196,2017
27,Nebraska,84,20.9,20.9,21.9,21.5,21.4,3,629,625,1253,2017
28,Nevada,100,16.3,18.0,18.1,18.2,17.8,26,563,553,1116,2017
29,New Hampshire,18,25.4,25.1,26.0,24.9,25.5,96,532,520,1052,2017
30,New Jersey,34,23.8,23.8,24.1,23.2,23.9,70,530,526,1056,2017
31,New Mexico,66,18.6,19.4,20.4,20.0,19.7,11,577,561,1138,2017
32,New York,31,23.8,24.0,24.6,23.9,24.2,67,528,523,1052,2017
33,North Carolina,100,17.8,19.3,19.6,19.3,19.1,49,546,535,1081,2017
34,North Dakota,98,19.0,20.4,20.5,20.6,20.3,2,635,621,1256,2017
35,Ohio,75,21.2,21.6,22.5,22.0,22.0,12,578,570,1149,2017
36,Oklahoma,100,18.5,18.8,20.1,19.6,19.4,7,530,517,1047,2017
37,Oregon,40,21.2,21.5,22.4,21.7,21.8,43,560,548,1108,2017
38,Pennsylvania,23,23.4,23.4,24.2,23.3,23.7,65,540,531,1071,2017
39,Rhode Island,21,24.0,23.3,24.7,23.4,24.0,71,539,524,1062,2017
40,South Carolina,100,17.5,18.6,19.1,18.9,18.7,50,543,521,1064,2017
41,South Dakota,80,20.7,21.5,22.3,22.0,21.8,3,612,603,1216,2017
42,Tennessee,100,19.5,19.2,20.1,19.9,19.8,5,623,604,1228,2017
43,Texas,45,19.5,20.7,21.1,20.9,20.7,62,513,507,1020,2017
44,Utah,100,19.5,19.9,20.8,20.6,20.3,3,624,614,1238,2017
45,Vermont,29,23.3,23.1,24.4,23.2,23.6,60,562,551,1114,2017
46,Virginia,29,23.5,23.3,24.6,23.5,23.8,65,561,541,1102,2017
47,Washington,29,20.9,21.9,22.1,22.0,21.9,64,541,534,1075,2017
48,West Virginia,69,20.0,19.4,21.2,20.5,20.4,14,558,528,1086,2017
49,Wisconsin,100,19.7,20.4,20.6,20.9,20.5,3,642,649,1291,2017
50,Wyoming,100,19.4,19.8,20.8,20.6,20.2,3,626,604,1230,2017
